Date,Time WIB,Country/Region,Category,Importance,Headline,Source,Market Impact,Affected Market,Ticker,AIRS Relevance,Yesterday vs Today,New Development,Market Regime Impact,IDX Sector Impact,AIRS Watchlist Impact,Event Horizon,Catalyst Risk,Source URL
2026-09-16,12:00,Indonesia,FX / Monetary,VERY HIGH,"JISDOR rises to Rp17,687 on 15 Sep from Rp17,635 on 14 Sep",Bank Indonesia,Rupiah depreciation adds imported-inflation and foreign-flow pressure,IDR; banks; consumer; bonds,BBCA; BMRI; BBRI; ICBP; ASII,JISDOR moved +Rp52 day-on-day; key AIRS FX risk input.,WORSENING,"15 Sep JISDOR Rp17,687; 14 Sep Rp17,635.",RISK-OFF,Banks; consumer; importers; exporters,Raise FX-risk penalty; require stronger flow confirmation.,Immediate,Further IDR weakness vs BI stabilization,https://www.bi.go.id/id/statistik/informasi-kurs/jisdor/Default.aspx
2026-09-16,12:00,Indonesia,Government / Fiscal Policy,VERY HIGH,New Finance Minister Suahasil Nazara says fiscal discipline and 3% deficit ceiling remain priorities,Reuters,"Potential stabilizing signal, but credibility must be demonstrated",IDR; bonds; IHSG,BBCA; BMRI; BBRI; BBNI,Second-day reaction to finance-minister change; watch bond/FX response.,NEW / DEVELOPING,Suahasil replaced Purbaya after policy/investor-confidence concerns.,CAUTIOUS,Banks; property; infrastructure; SOEs,Do not remove fiscal-risk penalty yet; monitor execution.,Days–weeks,Credibility / policy-continuity test,https://www.reuters.com/world/asia-pacific/indonesias-president-replaces-finance-minister-with-deputy-official-says-2026-09-14/
2026-09-16,12:00,Indonesia,Energy / Government Policy,HIGH,Pertamina boosts subsidized-fuel supply in Makassar as long queues emerge amid high global oil prices,Reuters,Fiscal/subsidy pressure and possible downstream margin/logistics effects,Fuel; inflation; transport; consumer,PGAS; AKRA; GIAA; ICBP; INDF,"Watch for subsidy burden, fuel availability and inflation spillover.",WORSENING,Government says subsidized fuel prices will be maintained through year-end.,MIXED / RISK,Energy; transport; consumer,Monitor energy names positively but flag consumer/transport margin pressure.,Days–weeks,Further supply disruption / subsidy pressure,https://www.reuters.com/business/energy/indonesias-pertamina-pledges-fuel-supply-boost-makassar-city-cut-1-km-long-queues-2026-09-15/
2026-09-16,12:00,Global / Middle East,Geopolitics / Energy,VERY HIGH,Oil remains above $100; Saudi export disruption and Hormuz risk remain key supply threats,Reuters,Inflationary shock remains active despite small intraday oil pullback,Brent; WTI; inflation; shipping,MEDC; PGEO; AKRA; GIAA,Main global sector-rotation driver for IDX.,STILL HIGH / SLIGHTLY EASING,Brent about $107.82 after API data showed a 7.1m-barrel US crude build.,RISK-OFF / ROTATION,Energy positive; transport/consumer negative,Keep energy priority; tighten stops on oil-sensitive losers.,Days–weeks,Pipeline repair timing / Hormuz traffic,https://www.reuters.com/business/energy/oil-falls-us-crude-inventories-rise-despite-saudi-supply-concerns-2026-09-16/
2026-09-16,12:00,United States,Fed / Rates,VERY HIGH,Fed decision due today; markets price a 25-bp hike with focus shifting to forward guidance,Reuters,"High event risk for USD, Treasury yields and EM flows",USD; US Treasuries; EM equities,IHSG; BBCA; BMRI,Fed outcome and guidance can reset global risk regime.,ACCELERATING,Reuters reported roughly 90%+ pricing for a 25-bp hike; forward path remains key.,HIGH VOLATILITY,Broad IDX; especially growth/property/high-beta,Reduce overnight risk in borderline setups; watch US yields.,Today–1 week,Hawkish guidance / further hikes,https://www.reuters.com/business/fed-rate-hike-wednesday-now-likely-say-economists-least-one-more-follow-2026-09-14/
2026-09-16,12:00,United States,Bonds / Liquidity,VERY HIGH,"US 10-year yield briefly tops 5%, highest level in three years/near multi-year highs",Reuters,Higher discount rates pressure global risk assets and EM valuation,Treasuries; USD; EM equities,IHSG,Critical AIRS regime input.,WORSENING,Yield reached around 5.04% before easing near 4.99%.,RISK-OFF,Property; high-beta; infrastructure; growth,Increase macro penalty and demand stronger technical confirmation.,Days–weeks,Yield persistence after Fed decision,https://www.reuters.com/world/china/global-markets-wrapup-1-2026-09-16/
2026-09-16,12:00,United States,Equities / Risk Sentiment,HIGH,Wall Street closes lower for second straight session as oil and yields rise,Reuters,Confirms defensive overnight tone,S&P 500; Nasdaq; Dow; EM,IHSG,"Use as overnight risk sentiment input, not standalone sell signal.",WORSENING,Dow -0.63%; S&P 500 -0.45%; Nasdaq -0.78%.,RISK-OFF,Broad IDX; high-beta most vulnerable,Require stronger relative strength and foreign-flow evidence.,Immediate,Fed guidance / oil reversal,https://wealthinsights.metrobank.com.ph/news/us-stocks-end-lower-as-oil-spikes-and-the-benchmark-treasury-yield-breaches-5percent
2026-09-16,12:00,China,Economic / Capital Flow,HIGH,China expands QDII quota by $6.8bn to record $183bn; Chinese investors increasingly buy US funds,Reuters,Potential diversion of domestic capital abroad; mixed regional liquidity signal,China equities; US tech; FX,ANTM; INCO; TINS; ADRO,Secondary signal: China investors favor overseas assets while domestic confidence remains weak.,NEW,US-focused QDII funds saw strong inflows and some subscription restrictions.,MIXED / CAUTIOUS,China-sensitive commodities; regional risk,Avoid assuming China stimulus alone will lift Indonesian commodities.,Weeks–months,Domestic China confidence / policy support,https://www.reuters.com/world/china/chinese-investors-rush-into-us-stocks-beijing-opens-wider-path-overseas-2026-09-16/
2026-09-16,12:00,China,Financial Regulation,MEDIUM,PBOC considers new macro-prudential metrics to restrain banks’ long-duration bond exposure,Reuters,Potentially limits Chinese bond rally; signals financial-risk management,China bonds; banks,ANTM; INCO; TINS,Relevant to China liquidity/financial-stability monitor.,NEW,Measures reportedly still under consultation.,MIXED,Banks; bonds; commodities,Low direct IDX impact today; keep on macro radar.,Weeks–months,Finalization and implementation,https://www.reuters.com/world/china/china-central-bank-plans-new-metrics-rein-banks-long-dated-bonds-holdings-2026-09-14/
2026-09-16,12:00,Japan,Central Bank / FX,HIGH,Yen remains firm as markets expect possible BOJ rate hike; policy expectations drive volatility,Reuters,Potential carry-trade volatility and Asian capital-flow changes,JPY; Asian FX; equities,IHSG,BOJ decision can amplify global rate volatility after Fed.,ACCELERATING,Yen had rallied sharply on expectations of faster BOJ normalization.,VOLATILITY,Broad IDX via foreign flow,Watch foreign selling in high-beta names.,Days,BOJ surprise / intervention dynamics,https://www.reuters.com/world/asia-pacific/yen-rally-faces-moment-truth-boj-risks-disappointing-markets-2026-09-15/
2026-09-16,12:00,Global,Gold / Safe Haven,MEDIUM,Gold edges higher as investors await Fed decision and geopolitical risks persist,Reuters,Defensive positioning remains visible,Gold; miners,ANTM; MDKA,Gold strength can support miners but also signals caution.,FIRM,Gold up while oil eased slightly.,DEFENSIVE,Gold miners; broad sentiment,Positive only for gold-exposed names; not broad risk-on confirmation.,Days–weeks,Real yields / Fed guidance,https://www.reuters.com/world/india/gold-muted-investors-brace-fed-rate-decision-2026-09-16/
2026-09-16,12:00,Asia / Global,Global Markets,HIGH,Asian markets trade cautiously ahead of Fed decision; MSCI Asia-Pacific ex-Japan up about 0.3%,Reuters,Regional tone less negative than US close but event risk dominates,Asian equities; FX,IHSG,Do not over-read early Asia strength before Fed outcome.,SLIGHTLY IMPROVED / FRAGILE,Taiwan gains offset China weakness; Nikkei about -0.1%.,MIXED / HIGH VOLATILITY,Tech exporters vs commodity/rate-sensitive sectors,Wait for IDX-specific flow and price action confirmation.,Today,Fed decision / oil,https://www.reuters.com/world/china/global-markets-wrapup-1-2026-09-16/
2026-09-16,12:00,AIRS,Market Regime,VERY HIGH,AIRS MIDDAY MACRO REGIME: RISK-OFF / HIGH VOLATILITY,AIRS synthesis,Local fiscal transition + weaker Rupiah + US yields >5% + oil >$100 dominate,IHSG; IDR; bonds; commodities,IHSG,Macro filter for current AIRS MIDDAY run.,"UNCHANGED FROM EOD, RISK REMAINS HIGH",Oil eased slightly but supply risk persists; Fed decision today; JISDOR weakened.,RISK-OFF,Energy/exporters relatively stronger; high-beta/rate-sensitive weaker,A/A+ only; smaller probe size; no chasing gaps.,Intraday–1 week,Fed guidance; oil supply; IDR,
2026-09-16,12:00,AIRS,Sector Rotation,HIGH,AIRS sector focus: energy/exporters remain favored relatively; banks/property require confirmation,AIRS synthesis,Potential rotation rather than uniform market direction,IDX sectors,MEDC; PGEO; ANTM; PTBA; ADRO; BBCA; BMRI,Macro overlay to Big Cap/Bandar screeners.,UNCHANGED,Energy supported by oil; banks/property face rate/FX headwinds.,SELECTIVE,Energy; miners > defensive large caps > rate-sensitive cyclicals,Need foreign flow + Acc/Dist + price confirmation.,Days–3 weeks,Oil reversal / yields,
2026-09-16,12:00,AIRS,MIDDAY ACTION,VERY HIGH,AIRS MIDDAY: avoid adding broad market risk before Fed decision unless setup is exceptional,AIRS synthesis,Event risk outweighs marginal upside for weak setups,IHSG; high-beta stocks,IHSG,Position-size overlay only; not a directional prediction.,NEW TODAY,"Fed decision can reset yields, USD and EM flows later today.",EVENT-RISK,Broad,Use probe size 0.5–1%; avoid chasing >2% above POC/VWAP without exceptional flow.,Today,Fed gap / oil headline risk,
