Timestamp,Country/Region,Category,Importance,Headline,Source,Market Impact,Affected Market,Ticker,AIRS Relevance,Yesterday vs Today,New Development,Market Regime Impact,IDX Sector Impact,AIRS Watchlist Impact,Event Horizon,Catalyst Risk
2026-09-20 22:00,Indonesia,Government / Fiscal Policy,VERY HIGH,"New Finance Minister Suahasil Nazara stresses fiscal-policy continuity and keeps 2026 deficit target at 2.85% of GDP",Reuters,"Potentially stabilizing if followed by credible execution","IDR; bonds; IHSG; banks","BBCA; BMRI; BBRI; BBNI","Important counterweight to cabinet-transition risk.",IMPROVING,"New minister retained deficit outlook below 3% legal ceiling.","MIXED / CAUTIOUS","Banks; SOEs; domestic cyclicals","Watch bond yields, Rupiah and foreign flow for confirmation.","1–4 weeks","Policy execution / credibility"
2026-09-20 22:00,Indonesia,FX,HIGH,"JISDOR closes at Rp17,745 on 18 Sep after Rp17,753 on 17 Sep",Bank Indonesia,"Rupiah remains weak despite small daily rebound","USDIDR; banks; importers; consumer","BBCA; BMRI; ICBP; ASII","Core AIRS macro filter.","IMPROVING SLIGHTLY","18 Sep Rp17,745; 17 Sep Rp17,753; 16 Sep Rp17,712.",RISK-OFF,"Banks; consumer; autos; importers","Require stabilization before increasing rate-sensitive exposure.","Days–weeks","Renewed USD strength"
2026-09-20 22:00,Indonesia,Central Bank,VERY HIGH,"Bank Indonesia RDG scheduled for 22–23 Sep 2026",Bank Indonesia,"Major near-term domestic macro catalyst","BI-Rate; IDR; bonds; banks; property","BBCA; BMRI; BBRI; CTRA; BSDE","Decision arrives after Fed and BOJ moves.",NEW,"Monthly RDG starts Tuesday 22 Sep and concludes Wednesday 23 Sep.","HIGH EVENT RISK","Banks; property; consumer","Reduce uncertainty premium only after decision and guidance.","1–3 days","BI reaction to Rupiah and global rates"
2026-09-20 22:00,Indonesia,Equities / Foreign Flow,HIGH,"IHSG fell 0.33% to 6,441.16 on Friday; 10 of 11 sectors declined",Bisnis / Katadata,"Negative domestic tape heading into Monday","IHSG; banks; property","BBCA; BMRI; BBRI; CTRA; BSDE","Friday price action confirms weak breadth.",WORSENING,"Technology was the only sector that rose; finance and real estate fell.",RISK-OFF,"Property; finance; industry; healthcare","Avoid assuming Monday rebound without breadth and flow confirmation.",Immediate,"Foreign-flow improvement vs global risk-off"
2026-09-20 22:00,United States,Fed / Rates,VERY HIGH,"Fed raised rates 25 bps to 3.75%–4.00% and signaled more tightening",Reuters,"Higher global discount rate","USD; Treasuries; EM equities",IHSG,"Dominant global macro input.",WORSENING,"Fed projections indicate at least one more hike in 2026.",RISK-OFF,"Property; growth; high-beta","Keep global-rate penalty elevated.","Weeks–months","Further inflation-driven hikes"
2026-09-20 22:00,United States,US Equities,HIGH,"Friday close: S&P 500 +0.17%, Nasdaq +0.40%, Dow -0.18%; weekly Dow -1.7%","Reuters / AP","Mixed but fragile risk appetite","US equities; global sentiment",IHSG,"External risk signal for Monday.",MIXED,"Nasdaq outperformed, but weekly backdrop remained pressured by rates and oil.",CAUTIOUS,"High-beta; technology","Do not infer broad risk-on from Nasdaq alone.",Immediate,"Futures response to weekend Middle East headlines"
2026-09-20 22:00,United States,Volatility,MEDIUM,"VIX closes at 14.81, down 4.08% on 18 Sep",Cboe,"Lower equity-volatility pricing despite macro risks","VIX; S&P 500; risk sentiment",IHSG,"Useful cross-asset confirmation but below acute-stress territory.",IMPROVING,"Cboe VIX 14.81 on 18 Sep versus 15.44 on 17 Sep.","CAUTIOUS / STABLE","Broad market","Lower VIX helps, but oil, yields and geopolitics remain dominant.",Immediate,"Weekend geopolitical escalation"
2026-09-20 22:00,United States,Treasuries,VERY HIGH,"US 10Y yield remains near 5% after reaching levels not seen since 2007",Reuters,"Negative for EM valuation and rate-sensitive equities","Treasuries; USD; EM",IHSG,"Core global discount-rate signal.",WORSENING,"10Y yield was near 5% at week end.",RISK-OFF,"Property; infrastructure; growth","Watch whether yield holds above or below 5%.","Days–weeks","Yield breakout above 5%"
2026-09-20 22:00,Japan,BOJ / FX,VERY HIGH,"BOJ raised policy rate 25 bps to 1.25%; decision split 7–2 and yen weakened",Reuters,"Tightening with less-hawkish-than-expected guidance; carry-trade uncertainty","JPY; Asian FX; EM flows",IHSG,"Foreign-flow volatility signal.","MIXED / VOLATILE","BOJ reached a 31-year high; two dissenters wanted a larger hike.","HIGH VOLATILITY","Broad IDX via foreign flows","Watch USDJPY and Asian risk appetite.","Days–weeks","Further BOJ hike / intervention risk"
2026-09-20 22:00,China,Monetary Policy,HIGH,"China keeps 1-year LPR at 3.00% and 5-year LPR at 3.50% in September",Reuters,"No fresh broad monetary easing impulse","CNY; Chinese equities; commodities","ANTM; INCO; TINS; PTBA; ADRO","China demand and stimulus remain important for commodity stocks.",BASELINE,"LPR unchanged for 16th month.",MIXED,"Metals; coal; consumer cyclicals","Look for fiscal or targeted stimulus rather than rate cuts.","Weeks–months","Property slowdown prompts targeted support"
2026-09-20 22:00,China / US,Trade / Geopolitics,VERY HIGH,"US-China talks on AI, trade and critical minerals precede Trump-Xi summit on 24 Sep",Reuters,"Potential de-escalation catalyst; major uncertainty remains","Rare earths; semis; trade; global risk","ANTM; INCO; TINS","Potentially important for commodities and Asia risk premium.",NEW,"Bessent-He talks in New York on Sunday; Trump-Xi summit scheduled Sep 24.","MIXED / CATALYST","Metals; technology; exporters","Track tariff, rare-earth and chip language.","Days–weeks","Negotiation breakthrough vs renewed tension"
2026-09-20 22:00,Middle East,Geopolitics / Energy,VERY HIGH,"Houthis claim missile and drone attacks on Riyadh; Gulf stocks fall Sunday",Reuters,"Renewed supply and shipping risk; negative for global risk appetite","Oil; shipping; inflation; Gulf markets","MEDC; PGEO; AKRA","Weekend escalation can create Monday gap risk.",WORSENING,"Saudi index -0.3%; Qatar -1.1%; Aramco recovered +1.3%.",RISK-OFF,"Energy positive; transport/consumer negative","Tighten overnight risk; watch oil Sunday reopen.",Immediate,"Further attacks on energy infrastructure"
2026-09-20 22:00,Middle East,Geopolitics,VERY HIGH,"Iran warns against new US/allied attacks as Hormuz and Bab el-Mandeb disruptions persist",Reuters,"High tail risk for global oil and shipping","Brent; freight; inflation","PGEO; MEDC; AKRA","Key weekend event before Asian open.",WORSENING,"Iran warns of retaliation; Reuters reports continued disruption to key sea routes.",RISK-OFF,"Energy; transport; consumer","Do not chase energy gaps; monitor physical-supply headlines.","Immediate–weeks","Conflict expansion"
2026-09-20 22:00,Global,Oil,HIGH,"Brent closed Friday at $104.87 and WTI at $100.30 after easing supply concerns",Reuters,"Inflation relief versus still-elevated energy risk","Brent; WTI; inflation","PGEO; MEDC; ICBP; GOTO","Oil remains above $100 despite recent pullback.",MIXED,"China urged Iran to limit Houthi attacks; Saudi seeks alternative export routes.",MIXED,"Energy relative strength; consumer/transport relief","Track Sunday futures reaction after Saudi and Riyadh attacks.","Days–weeks","Oil spike if supply disruption worsens"
2026-09-20 22:00,Russia / Ukraine,Geopolitics / Energy,HIGH,"Large Ukrainian drone attack hits Moscow region including an oil refinery",Reuters,"Potential energy/fuel disruption and geopolitical escalation","Oil; refined products; European energy",IHSG,"Secondary oil-risk channel.",WORSENING,"Reuters reports refinery damage and continuing attacks on energy infrastructure.",RISK-OFF,"Energy; shipping","Monitor refined-product prices and further escalation.","Days–weeks","Retaliatory attacks"
2026-09-20 22:00,Global,Weekly Catalysts,VERY HIGH,"Next week: BI RDG, Trump-Xi summit, US PMI and other central-bank decisions","Reuters / BI","High event concentration","FX; rates; commodities; equities",IHSG,"Core position-sizing calendar.",NEW,"BI 22–23 Sep; Trump-Xi 24 Sep; US PMI also in focus.","HIGH VOLATILITY","Broad IDX","Avoid oversized positions into key event windows.","1–5 trading days","Multiple simultaneous macro shocks"
2026-09-20 22:00,AIRS,Market Regime,VERY HIGH,"PRIMARY REGIME: RISK-OFF / HIGH VOLATILITY, with lower VIX as a partial counter-signal","AIRS synthesis","Broad caution with selective commodity rotation","IHSG; IDR; bonds; commodities",IHSG,"Current master macro filter.",UPDATED,"Fed and BOJ tightening, US yields near 5%, Middle East escalation and weak IDX breadth; VIX 14.81 mitigates but does not reverse.",RISK-OFF,"Energy/mining relatively stronger; high-beta/property more vulnerable","A/A+ setups; smaller size; no chasing geopolitical gaps.","Immediate–1 week","Weekend oil spike / yield breakout"
2026-09-20 22:00,AIRS,Sector Rotation,HIGH,"Relative bias: energy/exporters supported; banks mixed; property/high-beta vulnerable","AIRS synthesis","Selective rotation, not broad risk-on","IDX sectors","MEDC; PGEO; ANTM; PTBA; ADRO; BBCA; BMRI; CTRA; BSDE","Macro overlay for AIRS ranking.",UPDATED,"Oil remains above $100; yields near 5%; Rupiah weak.","SELECTIVE RISK-OFF","Energy/mining relatively stronger; property/high-beta more exposed","Require foreign flow + Acc/Dist + price confirmation.","Days–3 weeks","Oil reversal / yield relief"
2026-09-20 22:00,AIRS,Monday Risk Map,VERY HIGH,"Monday risk map: weekend Middle East headlines may dominate Asia open before BI and US-China events","AIRS synthesis","High gap-risk environment","IHSG; IDR; oil; Asian equities",IHSG,"Sunday-to-Monday position-sizing input.",NEW,"Saudi/Gulf attacks reported Sunday; BI meeting follows Tue-Wed; Trump-Xi Thu.","HIGH VOLATILITY","Broad IDX","Avoid oversized overnight exposure; wait for breadth and flow confirmation.","Next session","Oil/FX gap"
