Date	Time	Country	Category	Importance	Headline	Source	Market Impact	Affected Market	Ticker	AIRS Relevance	Yesterday vs Today	New Development	Market Regime Impact	IDX Sector Impact	AIRS Watchlist Impact	Event Horizon	Catalyst Risk	Source URL	Verification
15-09-26	Latest / 15 Sep	Indonesia	Government / Fiscal Policy	HIGH	Indonesia’s President Prabowo replaces Finance Minister Purbaya Yudhi Sadewa with deputy Suahasil Nazara	Reuters	Mixed initially; credibility and policy-continuity test	IHSG; IDR; Indonesian bonds; banks; rate-sensitive stocks	BBCA; BBRI; BMRI; BBNI; TLKM; ASII	"Major policy/credibility event. Monitor fiscal discipline, capital flows, bond yields and Rupiah."	NEW	Leadership transition confirmed; new minister pledged fiscal discipline and 3% GDP deficit cap.	RISK-OFF / CAUTION	Banks; property; infrastructure; consumer; SOEs	Increase macro risk penalty; prioritize strong-flow large caps only until market digests transition.	Immediate to 1-4 weeks	Risk: policy uncertainty / fiscal credibility. Catalyst: credible continuity and investor reassurance.	https://www.reuters.com/world/asia-pacific/indonesias-president-replaces-finance-minister-with-deputy-official-says-2026-09-14/	"Reuters, published 15 Sep 2026"
15-09-26	Latest	Indonesia	Government / Fiscal Policy	HIGH	Ousted finance minister says removal came amid instability and policy disagreements	Reuters	Negative for confidence until policy continuity is demonstrated	IDR; bonds; banks; IHSG	BBCA; BMRI; BBRI; BBNI	Adds context to cabinet reshuffle and investor-confidence risk.	NEW	"Former minister cited fiscal scrutiny, capital outflows and prior rating pressure."	RISK-OFF	Banks; financials; domestic cyclicals	Watch foreign flow and bond-market reaction before increasing exposure.	1-4 weeks	Risk: renewed capital outflows. Catalyst: clear fiscal framework.	https://www.reuters.com/world/asia-pacific/ousted-indonesia-finance-minister-says-he-was-upset-half-expected-removal-2026-09-15/	"Reuters, published 15 Sep 2026"
14-09-26	Recent	Indonesia	Corporate Action	HIGH	FORU prepares rights issue up to Rp27.1 trillion to fund coal-mining investment and working capital	IDNFinancials	Potentially major company-specific catalyst and dilution event	Coal; mining; small-cap equities	FORU	"Very large capital raising; monitor dilution, controlling-shareholder participation and coal exposure."	NEW THIS WEEK	Up to 215.10 billion new shares at Rp126; controlling shareholder plans to subscribe via inbreng.	STOCK-SPECIFIC	Coal; mining	"Do not treat as automatic bullish. Check price reaction, volume and post-rights structure."	Weeks to months	Risk: dilution / execution. Catalyst: asset value and coal-cycle leverage.	https://www.idnfinancials.com/news/68804/foru-prepares-idr-27-1-trillion-rights-issue-for-coal-mining	"IDNFinancials, 14 Sep 2026"
11-09-26	Recent	Indonesia	Corporate Action	HIGH	"MGLV sets rights-issue price at Rp8,880 and targets about Rp2.53 trillion for data-center expansion"	Bisnis.com / IDNFinancials	Positive growth-capex narrative; dilution risk	Technology; data centers; infrastructure	MGLV	AI/data-center capex is a thematic catalyst but execution and dilution matter.	ONGOING	285.7 million new shares; controlling shareholder plans to take up its rights.	SELECTIVE RISK-ON	Technology; data centers	Watch breakout + volume confirmation rather than headline alone.	Weeks to months	Risk: valuation / dilution. Catalyst: data-center expansion and AI infrastructure demand.	https://www.idnfinancials.com/news/68714/boy-thohir-affiliated-mglv-sets-rights-issue-price-42-below-market	"IDNFinancials, 11 Sep 2026"
11-09-26	Recent	Indonesia	Corporate Action	MEDIUM	Several Indonesian private banks prepare share buybacks; BBCA plans up to Rp5 trillion through March 2027	Kontan	Supportive for share prices if executed during weakness	Banks; financials	BBCA	Buyback support can strengthen downside protection and institutional sentiment.	ONGOING	BBCA buyback plan highlighted amid volatile market conditions.	CAUTIOUS POSITIVE	Banks	Useful confirmation factor for big-cap bank setups; still require foreign-flow confirmation.	Weeks to 6 months	Risk: macro-rate pressure. Catalyst: execution of buyback during weakness.	https://keuangan.kontan.co.id/news/sejumlah-bank-swasta-siapkan-buyback-saham-ini-daftarnya	"Kontan, 11 Sep 2026"
04-09-26	Recent	Indonesia	Corporate Action	MEDIUM	BTPS plans share buyback of up to Rp1 trillion	IDNFinancials	Potential price/liquidity support	Banks; financials	BTPS	Adds a company-specific technical support catalyst.	ONGOING	Buyback intended to support trading stability and fundamental valuation.	NEUTRAL / SUPPORTIVE	Banks	Watch accumulation/volume around support.	Weeks to months	Risk: weak banking sentiment. Catalyst: actual buyback execution.	https://www.idnfinancials.com/news/68372/btps-prepares-buyback-of-up-to-idr-1-trillion-to-boost-liquidity	"IDNFinancials, 4 Sep 2026"
19-08-26	Recent macro base	Indonesia	Central Bank	HIGH	"Bank Indonesia holds BI-Rate at 5.75%; keeps focus on Rupiah stability, liquidity and foreign inflows"	Bank Indonesia	Neutral-to-supportive if FX stability improves	IDR; bonds; banks; property; consumer	BBCA; BMRI; BBRI; BBNI; CTRA; BSDE	Current policy anchor for rates and liquidity.	BASELINE	BI also expanded incentives and macroprudential liquidity measures.	NEUTRAL / CAUTIOUS	Banks; property; consumer	"Lower rates would help cyclicals, but FX stability remains the key constraint."	1-3 months	Risk: Rupiah weakness. Catalyst: stable FX plus foreign inflows.	https://www.bi.go.id/id/publikasi/ruang-media/news-release/Pages/sp_2816226.aspx	"Bank Indonesia, 19 Aug 2026"
01-09-26	Recent macro	Indonesia	Inflation	MEDIUM	Indonesia August 2026 inflation reaches 3.19% y/y; core inflation 2.92%	BPS	"Still within target corridor, but energy/import inflation risk rising"	IDR; rates; consumer; retail	ICBP; INDF; MYOR; ACES	Important for BI reaction function and consumer margins.	BASELINE	Headline inflation +3.19% y/y; m/m +0.21%; core +2.92%.	NEUTRAL	Consumer; retail; banks	Watch next inflation print closely given oil shock.	1-2 months	Risk: imported inflation from oil. Catalyst: contained core inflation.	https://www.bps.go.id/id/pressrelease/2026/09/01/2611/inflasi-year-on-year--y-on-y--pada-agustus-2026-sebesar-3-19-persen-.html	"BPS, 1 Sep 2026"
14-09-26	Latest available	Indonesia	FX	HIGH	"JISDOR reaches Rp17,635 per US dollar on 14 September 2026"	Bank Indonesia	Negative if depreciation trend accelerates; affects imported inflation and foreign-flow sentiment	IDR; banks; consumer; importers; exporters	BBCA; BMRI; BBRI; ASII; ICBP	Rupiah is a core AIRS macro filter.	NEW BASELINE	"IDR weakened from Rp17,611 on 11 Sep to Rp17,635 on 14 Sep."	RISK-OFF	Banks; consumer; autos; exporters	Increase FX-risk penalty until Rupiah stabilizes.	Days to weeks	Risk: faster depreciation. Catalyst: BI intervention / foreign inflow.	https://www.bi.go.id/en/statistik/informasi-kurs/jisdor/Default.aspx	"Bank Indonesia JISDOR, 14 Sep 2026"
15-09-26	Latest	United States	Central Bank / Rates	HIGH	Markets price a 25-bp Federal Reserve rate hike this week as oil-driven inflation raises policy risk	Reuters	Negative for duration/risk assets; supportive for USD	US stocks; USD; Treasury yields; global equities	—	Higher-for-longer US rates can pressure foreign flows into EM including Indonesia.	ACCELERATING	Rate-hike expectations strengthened alongside higher oil and inflation concerns.	RISK-OFF	All sectors; especially growth/property	Raise global-rate penalty; favor cash-generative large caps.	Days to months	Risk: more hikes. Catalyst: dovish guidance or inflation relief.	https://www.reuters.com/world/asia-pacific/global-markets-global-markets-2026-09-15/	"Reuters, 15 Sep 2026"
